,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
1,Jonathan Taylor,IND,RB,326.7,"1,603.4",15.0,42.4,348.4,2.0,1.6,0.0,0.0,0,0.0,0.0
2,Derrick Henry,TEN,RB,362.5,"1,621.2",13.0,26.7,213.5,1.1,1.0,0.0,0.0,0,0.0,0.0
3,Christian McCaffrey,CAR,RB,240.7,"1,073.2",8.1,88.3,749.6,4.1,0.5,0.0,0.0,0,0.0,0.0
4,Austin Ekeler,LAC,RB,219.8,954.1,9.0,71.5,633.1,4.7,0.7,0.0,0.0,0,0.0,0.0
5,Joe Mixon,CIN,RB,288.2,"1,203.2",9.5,46.1,339.1,2.4,0.9,0.0,0.0,0,0.0,0.0
6,Alvin Kamara,NO,RB,218.0,983.7,8.3,58.3,515.8,3.9,0.3,0.0,0.0,0,0.0,0.0
7,Dalvin Cook,MIN,RB,264.4,"1,201.6",9.6,43.5,322.0,1.6,1.8,0.0,0.0,0,0.0,0.0
8,Najee Harris,PIT,RB,294.0,"1,179.5",7.5,57.4,381.2,1.9,0.4,0.0,0.0,0,0.0,0.0
9,Aaron Jones,GB,RB,194.8,942.7,6.2,62.8,509.2,3.7,0.8,0.0,0.0,0,0.0,0.0
10,Leonard Fournette,TB,RB,232.4,962.5,8.8,56.7,389.8,2.3,0.4,0.0,0.0,0,0.0,0.0
11,James Conner,ARI,RB,227.6,926.9,10.0,44.3,351.6,2.2,0.8,0.0,0.0,0,0.0,0.0
12,Nick Chubb,CLE,RB,247.5,"1,202.6",9.0,24.6,196.6,1.0,0.9,0.0,0.0,0,0.0,0.0
13,Javonte Williams,DEN,RB,229.5,"1,008.0",8.1,46.5,353.2,2.4,1.1,0.0,0.0,0,0.0,0.0
14,Saquon Barkley,NYG,RB,245.2,"1,025.1",6.9,55.9,423.9,2.0,0.8,0.0,0.0,0,0.0,0.0
15,D'Andre Swift,DET,RB,220.1,931.5,6.7,65.3,486.6,2.6,1.3,0.0,0.0,0,0.0,0.0
16,David Montgomery,CHI,RB,229.3,931.8,7.5,44.7,348.0,2.0,0.7,0.0,0.0,0,0.0,0.0
17,Ezekiel Elliott,DAL,RB,231.0,971.8,7.7,41.2,286.0,1.9,1.7,0.0,0.0,0,0.0,0.0
18,Elijah Mitchell,SF,RB,229.1,"1,001.6",7.6,28.8,220.6,1.4,0.3,0.0,0.0,0,0.0,0.0
19,Breece Hall,NYJ,RB,219.0,"1,000.7",6.8,37.0,279.4,1.4,1.2,0.0,0.0,0,0.0,0.0
20,Cam Akers,LAR,RB,229.9,991.1,7.2,33.5,262.0,1.7,2.4,0.0,0.0,0,0.0,0.0
21,Damien Harris,NE,RB,210.4,973.6,10.0,18.7,139.3,0.6,1.2,0.0,0.0,0,0.0,0.0
22,Josh Jacobs,LV,RB,224.7,943.5,8.0,36.6,251.7,0.9,1.4,0.0,0.0,0,0.0,0.0
23,J.K. Dobbins,BAL,RB,204.1,925.4,8.0,30.5,223.8,1.4,0.5,0.0,0.0,0,0.0,0.0
24,Travis Etienne Jr.,JAC,RB,185.1,851.6,5.7,49.4,398.3,2.0,1.1,0.0,0.0,0,0.0,0.0
25,Miles Sanders,PHI,RB,204.5,"1,034.2",6.0,29.9,212.1,1.1,1.4,0.0,0.0,0,0.0,0.0
26,Antonio Gibson,WAS,RB,196.9,881.2,6.8,32.8,240.4,1.4,1.5,0.0,0.0,0,0.0,0.0
27,Rashaad Penny,SEA,RB,193.8,965.9,6.9,21.6,161.1,0.7,0.8,0.0,0.0,0,0.0,0.0
28,AJ Dillon,GB,RB,182.1,806.9,6.7,33.5,272.1,1.5,0.8,0.0,0.0,0,0.0,0.0
29,Dameon Pierce,HOU,RB,216.6,906.8,6.0,29.3,225.2,1.1,1.0,0.0,0.0,0,0.0,0.0
30,Clyde Edwards-Helaire,KC,RB,181.3,789.8,5.8,36.1,271.5,2.1,1.0,0.0,0.0,0,0.0,0.0
31,Devin Singletary,BUF,RB,180.3,832.7,5.8,33.8,228.6,1.4,1.0,0.0,0.0,0,0.0,0.0
32,Tony Pollard,DAL,RB,155.4,726.9,3.9,45.9,376.7,2.2,0.4,0.0,0.0,0,0.0,0.0
33,Rhamondre Stevenson,NE,RB,174.4,738.7,6.6,33.7,259.0,1.3,0.5,0.0,0.0,0,0.0,0.0
34,Cordarrelle Patterson,ATL,RB,134.2,601.2,4.3,44.3,398.8,2.6,0.3,0.0,0.0,0,0.0,0.0
35,Chase Edmonds,MIA,RB,166.3,718.9,4.2,45.6,331.1,1.8,0.3,0.0,0.0,0,0.0,0.0
36,Melvin Gordon III,DEN,RB,150.8,684.2,5.9,24.6,189.6,1.2,1.4,0.0,0.0,0,0.0,0.0
37,Kareem Hunt,CLE,RB,131.7,544.8,4.5,40.6,309.0,1.9,0.2,0.0,0.0,0,0.0,0.0
38,Michael Carter,NYJ,RB,133.3,556.3,3.3,32.7,269.6,1.3,0.3,0.0,0.0,0,0.0,0.0
39,Raheem Mostert,MIA,RB,130.3,650.7,4.4,16.3,126.1,0.9,1.2,0.0,0.0,0,0.0,0.0
40,James Robinson,JAC,RB,146.1,584.5,4.6,23.2,174.3,0.7,0.8,0.0,0.0,0,0.0,0.0
41,Darrell Henderson Jr.,LAR,RB,131.5,526.7,3.8,23.1,178.5,1.3,0.1,0.0,0.0,0,0.0,0.0
42,Jamaal Williams,DET,RB,133.3,558.0,3.6,22.5,149.2,0.8,0.2,0.0,0.0,0,0.0,0.0
43,Brian Robinson Jr.,WAS,RB,130.9,562.6,4.4,16.4,122.2,0.5,0.6,0.0,0.0,0,0.0,0.0
44,Ken Walker III,SEA,RB,151.7,573.5,4.1,16.1,110.6,0.4,0.5,0.0,0.0,0,0.0,0.0
45,James Cook,BUF,RB,93.1,402.1,2.9,30.6,240.9,1.7,0.4,0.0,0.0,0,0.0,0.0
46,Nyheim Hines,IND,RB,75.1,288.7,2.0,44.7,356.7,1.9,0.4,0.0,0.0,0,0.0,0.0
47,Kenneth Gainwell,PHI,RB,87.7,363.3,3.4,30.4,242.6,1.2,0.7,0.0,0.0,0,0.0,0.0
48,Mark Ingram II,NO,RB,116.3,479.3,3.4,18.6,144.8,0.6,0.4,0.0,0.0,0,0.0,0.0
49,Alexander Mattison,MIN,RB,109.1,438.4,2.8,24.7,182.8,0.9,0.4,0.0,0.0,0,0.0,0.0
50,J.D. McKissic,WAS,RB,49.9,223.5,1.3,47.4,369.3,1.9,0.2,0.0,0.0,0,0.0,0.0
51,Rex Burkhead,HOU,RB,76.4,331.2,2.3,29.9,239.6,1.2,0.2,0.0,0.0,0,0.0,0.0
52,Rachaad White,TB,RB,87.3,345.2,3.0,21.3,165.0,1.1,0.4,0.0,0.0,0,0.0,0.0
53,Tyler Allgeier,ATL,RB,127.2,477.6,2.7,12.9,93.3,0.3,0.4,0.0,0.0,0,0.0,0.0
54,Khalil Herbert,CHI,RB,111.6,402.5,2.6,18.4,137.0,0.6,0.3,0.0,0.0,0,0.0,0.0
55,Marlon Mack,SF,RB,135.0,389.5,2.7,12.3,84.7,0.5,0.1,0.0,0.0,0,0.0,0.0
56,Gus Edwards,BAL,RB,93.4,398.6,3.0,6.2,50.4,0.2,0.5,0.0,0.0,0,0.0,0.0
57,Zamir White,LV,RB,97.2,352.9,3.1,9.4,65.1,0.3,0.3,0.0,0.0,0,0.0,0.0
58,Jerick McKinnon,KC,RB,46.3,212.5,1.6,27.6,217.4,1.3,0.3,0.0,0.0,0,0.0,0.0
59,D'Onta Foreman,CAR,RB,74.2,376.9,2.5,7.0,60.1,0.2,0.9,0.0,0.0,0,0.0,0.0
60,Ameer Abdullah,LV,RB,37.0,175.6,0.9,35.7,257.6,1.4,0.1,0.0,0.0,0,0.0,0.0
61,Boston Scott,PHI,RB,69.3,296.3,2.7,8.8,64.1,0.2,0.4,0.0,0.0,0,0.0,0.0
62,Sony Michel,LAC,RB,73.2,303.0,2.3,9.4,70.2,0.2,0.2,0.0,0.0,0,0.0,0.0
63,Damien Williams,ATL,RB,63.9,243.3,1.5,20.4,153.9,0.5,0.3,0.0,0.0,0,0.0,0.0
64,Dontrell Hilliard,TEN,RB,41.4,199.7,1.2,24.2,183.2,0.7,0.5,0.0,0.0,0,0.0,0.0
65,Ronald Jones II,KC,RB,53.1,261.2,2.7,9.3,62.5,0.2,0.5,0.0,0.0,0,0.0,0.0
66,Isaiah Spiller,LAC,RB,61.4,245.7,1.8,12.4,92.2,0.4,0.2,0.0,0.0,0,0.0,0.0
67,Eno Benjamin,ARI,RB,60.0,243.3,1.7,12.3,98.1,0.3,0.3,0.0,0.0,0,0.0,0.0
68,Matt Breida,NYG,RB,65.8,271.8,1.3,12.1,91.0,0.5,0.7,0.0,0.0,0,0.0,0.0
69,Samaje Perine,CIN,RB,57.3,215.6,1.2,19.9,139.4,0.6,0.2,0.0,0.0,0,0.0,0.0
70,Darrel Williams,ARI,RB,46.7,201.9,1.8,13.4,106.8,0.6,0.1,0.0,0.0,0,0.0,0.0
71,Isiah Pacheco,KC,RB,55.5,224.3,2.0,10.6,71.3,0.4,0.3,0.0,0.0,0,0.0,0.0
72,Phillip Lindsay,IND,RB,56.0,288.4,1.8,4.4,33.8,0.1,0.3,0.0,0.0,0,0.0,0.0
73,Tevin Coleman,SF,RB,16.0,263.7,1.4,9.8,72.5,0.1,0.0,0.0,0.0,0,0.0,0.0
74,J.J. Taylor,NE,RB,0.0,235.9,2.0,7.8,57.2,0.3,0.2,0.0,0.0,0,0.0,0.0
75,Mike Davis,BAL,RB,48.4,229.7,1.8,11.1,77.1,0.2,0.5,0.0,0.0,0,0.0,0.0
76,Jeff Wilson Jr.,SF,RB,46.1,172.6,1.6,11.2,83.5,0.6,0.3,0.0,0.0,0,0.0,0.0
77,D'Ernest Johnson,CLE,RB,34.2,197.4,1.4,9.7,77.0,0.2,0.1,0.0,0.0,0,0.0,0.0
78,Chuba Hubbard,CAR,RB,44.2,186.3,1.2,12.8,89.3,0.5,0.3,0.0,0.0,0,0.0,0.0
79,Justin Jackson,DET,RB,17.9,147.8,1.3,11.7,96.0,0.5,0.3,0.0,0.0,0,0.0,0.0
80,Tyler Goodson,GB,RB,0.0,170.3,1.6,7.8,63.8,0.4,0.2,0.0,0.0,0,0.0,0.0
81,Ke'Shawn Vaughn,TB,RB,44.5,188.1,1.7,6.8,48.3,0.1,0.4,0.0,0.0,0,0.0,0.0
82,Hassan Haskins,TEN,RB,51.4,204.0,1.2,7.0,50.2,0.2,0.2,0.0,0.0,0,0.0,0.0
83,Kenyan Drake,BAL,RB,27.0,152.2,1.0,13.5,90.4,0.5,0.1,0.0,0.0,0,0.0,0.0
84,Anthony McFarland Jr.,PIT,RB,35.0,165.8,1.0,7.1,52.7,0.7,0.2,0.0,0.0,0,0.0,0.0
85,Zack Moss,BUF,RB,43.9,180.3,1.4,5.6,41.4,0.2,0.1,0.0,0.0,0,0.0,0.0
86,Craig Reynolds,DET,RB,31.7,171.7,1.1,7.6,55.3,0.2,0.2,0.0,0.0,0,0.0,0.0
87,Joshua Kelley,LAC,RB,45.0,177.0,1.3,6.8,46.0,0.2,0.6,0.0,0.0,0,0.0,0.0
88,Tyrion Davis-Price,SF,RB,34.8,159.9,1.4,6.6,45.9,0.2,0.2,0.0,0.0,0,0.0,0.0
89,Myles Gaskin,MIA,RB,34.3,168.8,1.0,10.9,68.6,0.2,0.5,0.0,0.0,0,0.0,0.0
90,Kyle Juszczyk,SF,RB,11.7,37.3,0.5,22.5,171.0,1.0,0.2,0.0,0.0,0,0.0,0.0
91,Chris Evans,CIN,RB,27.3,99.9,0.6,15.3,111.3,0.8,0.1,0.0,0.0,0,0.0,0.0
92,Benny Snell Jr.,PIT,RB,39.2,168.2,1.0,5.3,36.4,0.1,0.2,0.0,0.0,0,0.0,0.0
93,Giovani Bernard,TB,RB,16.1,100.2,0.6,11.0,82.9,0.6,0.2,0.0,0.0,0,0.0,0.0
94,Trey Sermon,PHI,RB,26.7,129.9,1.1,6.5,42.7,0.2,0.1,0.0,0.0,0,0.0,0.0
95,Travis Homer,SEA,RB,15.3,80.7,0.6,12.4,98.0,0.6,0.1,0.0,0.0,0,0.0,0.0
96,Deon Jackson,IND,RB,29.8,126.1,1.1,6.1,44.0,0.3,0.2,0.0,0.0,0,0.0,0.0
97,Kyren Williams,LAR,RB,18.6,120.0,1.3,5.6,43.9,0.1,0.2,0.0,0.0,0,0.0,0.0
98,Pierre Strong Jr.,NE,RB,13.1,114.3,1.1,5.9,43.0,0.2,0.2,0.0,0.0,0,0.0,0.0
99,Jaylen Warren,PIT,RB,29.5,134.0,1.0,5.1,32.5,0.1,0.2,0.0,0.0,0,0.0,0.0
100,Snoop Conner,JAC,RB,25.2,127.6,0.9,6.1,41.6,0.1,0.2,0.0,0.0,0,0.0,0.0
101,Brandon Bolden,LV,RB,19.0,75.8,0.5,12.5,104.0,0.3,0.1,0.0,0.0,0,0.0,0.0
102,Dare Ogunbowale,HOU,RB,12.6,91.7,0.6,10.3,82.2,0.3,0.1,0.0,0.0,0,0.0,0.0
103,Ty Johnson,NYJ,RB,9.1,88.2,0.6,9.2,82.2,0.4,0.3,0.0,0.0,0,0.0,0.0
104,Ty Montgomery,NE,RB,17.5,70.9,0.3,15.3,118.9,0.3,0.2,0.0,0.0,0,0.0,0.0
105,Qadree Ollison,DAL,RB,9.9,119.4,1.0,5.9,37.8,0.2,0.6,0.0,0.0,0,0.0,0.0
106,Royce Freeman,HOU,RB,22.4,120.1,0.7,6.2,42.0,0.2,0.0,0.0,0.0,0,0.0,0.0
107,DeeJay Dallas,SEA,RB,18.3,89.2,0.6,9.2,62.3,0.2,0.2,0.0,0.0,0,0.0,0.0
108,Gary Brightwell,NYG,RB,24.5,99.7,0.8,6.2,44.3,0.1,0.1,0.0,0.0,0,0.0,0.0
109,Patrick Taylor Jr.,GB,RB,0.0,112.8,1.0,3.0,20.4,0.1,0.3,0.0,0.0,0,0.0,0.0
110,Jermar Jefferson,DET,RB,23.7,98.5,0.6,5.0,34.0,0.1,0.0,0.0,0.0,0,0.0,0.0
111,Darrynton Evans,CHI,RB,21.9,94.8,0.6,4.8,35.1,0.1,0.0,0.0,0.0,0,0.0,0.0
112,Tony Jones Jr.,NO,RB,26.4,106.5,0.5,4.4,31.2,0.1,0.1,0.0,0.0,0,0.0,0.0
113,Jonathan Williams,WAS,RB,9.7,89.6,0.7,4.9,37.2,0.2,0.5,0.0,0.0,0,0.0,0.0
114,Trestan Ebner,CHI,RB,9.8,75.0,0.6,6.0,46.2,0.2,0.1,0.0,0.0,0,0.0,0.0
115,Jerome Ford,CLE,RB,8.5,74.4,0.6,5.1,36.1,0.2,0.1,0.0,0.0,0,0.0,0.0
116,Antonio Williams,NYG,RB,3.7,81.2,0.7,3.6,27.8,0.1,0.2,0.0,0.0,0,0.0,0.0
117,Kene Nwangwu,MIN,RB,21.4,82.8,0.6,3.8,23.8,0.1,0.1,0.0,0.0,0,0.0,0.0
118,Dwayne Washington,NO,RB,16.8,71.8,0.5,4.7,35.8,0.2,0.1,0.0,0.0,0,0.0,0.0
119,Ty Chandler,MIN,RB,16.0,76.4,0.3,6.6,43.5,0.1,0.1,0.0,0.0,0,0.0,0.0
120,Darwin Thompson,SEA,RB,0.0,75.6,0.6,3.8,28.8,0.2,0.1,0.0,0.0,0,0.0,0.0
121,Jordan Mason,SF,RB,13.9,72.3,0.6,3.9,23.3,0.1,0.1,0.0,0.0,0,0.0,0.0
122,Trenton Cannon,TEN,RB,10.4,41.2,0.2,7.7,57.4,0.3,0.0,0.0,0.0,0,0.0,0.0
123,Rico Dowdle,DAL,RB,16.0,64.9,0.4,4.4,34.7,0.2,0.1,0.0,0.0,0,0.0,0.0
124,Trayveon Williams,CIN,RB,4.4,77.1,0.5,3.8,21.6,0.1,0.5,0.0,0.0,0,0.0,0.0
125,Kylin Hill,GB,RB,13.0,50.0,0.0,9.0,67.0,0.0,0.0,0.0,0.0,0,0.0,0.0
126,Keaontay Ingram,ARI,RB,20.6,84.6,0.2,2.6,18.9,0.0,0.1,0.0,0.0,0,0.0,0.0
127,Keith Smith,ATL,RB,8.1,32.7,0.2,7.9,53.8,0.3,0.1,0.0,0.0,0,0.0,0.0
128,Demetric Felton Jr.,CLE,RB,0.0,19.5,0.1,8.6,73.3,0.2,0.1,0.0,0.0,0,0.0,0.0
129,C.J. Ham,MIN,RB,5.5,15.3,0.1,9.4,68.4,0.3,0.0,0.0,0.0,0,0.0,0.0
130,Mike Boone,DEN,RB,8.4,46.5,0.3,3.9,27.7,0.1,0.1,0.0,0.0,0,0.0,0.0
131,Duke Johnson Jr.,BUF,RB,18.0,73.0,0.0,4.0,33.0,-0.1,0.0,0.0,0.0,0,0.0,0.0
132,Justice Hill,BAL,RB,10.3,44.2,0.4,2.6,18.2,0.1,0.0,0.0,0.0,0,0.0,0.0
133,Alec Ingold,MIA,RB,4.3,14.9,0.1,6.5,48.1,0.3,0.0,0.0,0.0,0,0.0,0.0
134,Jake Funk,LAR,RB,6.9,41.2,0.3,3.0,21.5,0.1,0.1,0.0,0.0,0,0.0,0.0
135,JaMycal Hasty,JAC,RB,5.9,24.6,0.2,4.2,30.1,0.2,0.1,0.0,0.0,0,0.0,0.0
136,Michael Burton,KC,RB,5.8,23.7,0.3,3.5,25.2,0.2,0.0,0.0,0.0,0,0.0,0.0
137,Patrick Ricard,BAL,RB,2.6,7.9,0.1,6.4,43.9,0.3,0.0,0.0,0.0,0,0.0,0.0
138,Andrew Beck,DEN,RB,4.7,18.8,0.2,4.4,33.0,0.2,0.0,0.0,0.0,0,0.0,0.0
139,Jakob Johnson,LV,RB,4.0,16.5,0.2,4.4,32.6,0.3,0.1,0.0,0.0,0,0.0,0.0
140,Giovanni Ricci,CAR,RB,4.5,18.2,0.1,4.0,31.2,0.2,0.0,0.0,0.0,0,0.0,0.0
141,Julius Chestnut,TEN,RB,4.5,18.8,0.1,3.8,28.0,0.2,0.0,0.0,0.0,0,0.0,0.0
142,Derek Watt,PIT,RB,2.2,8.7,0.1,4.4,32.5,0.2,0.0,0.0,0.0,0,0.0,0.0
143,Jason Cabinda,DET,RB,3.0,12.5,0.1,3.6,26.6,0.2,0.0,0.0,0.0,0,0.0,0.0
144,Khari Blasingame,CHI,RB,2.4,9.8,0.1,3.8,29.2,0.2,0.0,0.0,0.0,0,0.0,0.0
145,Salvon Ahmed,MIA,RB,7.6,31.8,0.2,1.0,7.7,0.0,0.0,0.0,0.0,0,0.0,0.0
146,Trevon Wesco,CHI,RB,0.0,0.0,0.0,3.5,36.5,0.3,0.0,0.0,0.0,0,0.0,0.0
147,Adam Prentice,NO,RB,4.4,18.7,0.1,2.0,14.7,0.1,0.0,0.0,0.0,0,0.0,0.0
148,Reggie Gilliam,BUF,RB,0.0,0.0,0.0,4.4,32.5,0.2,0.0,0.0,0.0,0,0.0,0.0
149,Brittain Brown,LV,RB,3.8,15.6,0.1,2.1,15.4,0.1,0.0,0.0,0.0,0,0.0,0.0
150,Tory Carter,TEN,RB,0.0,0.0,0.0,3.9,28.4,0.2,0.0,0.0,0.0,0,0.0,0.0
151,Mekhi Sargent,JAC,RB,2.2,8.9,0.1,2.1,15.9,0.1,0.0,0.0,0.0,0,0.0,0.0
152,Zander Horvath,LAC,RB,4.4,18.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
153,Malcolm Brown,LAR,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
154,Malik Davis,DAL,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
155,Spencer Brown,BUF,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
156,Jason Huntley,PIT,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
157,Jaret Patterson,WAS,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
158,Taiwan Jones,BUF,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
159,Larry Rountree III,LAC,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
160,John Lovett,MIA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
161,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
162,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Cooper Kupp,LAR,WR,4.1,25.1,0.1,120.9,"1,560.6",12.1,0.4,0.0,0.0,0,0.0,0.0
2,Ja'Marr Chase,CIN,WR,8.1,52.5,0.2,92.2,"1,408.7",10.6,0.4,0.0,0.0,0,0.0,0.0
3,Justin Jefferson,MIN,WR,2.6,17.0,0.1,102.8,"1,471.9",9.6,0.3,0.0,0.0,0,0.0,0.0
4,Deebo Samuel,SF,WR,67.1,381.5,4.4,70.2,"1,014.7",6.4,0.6,0.0,0.0,0,0.0,0.0
5,Davante Adams,LV,WR,0.0,0.0,0.0,105.5,"1,302.4",9.8,0.2,0.0,0.0,0,0.0,0.0
6,Stefon Diggs,BUF,WR,0.0,0.0,0.0,100.5,"1,227.8",8.8,0.3,0.0,0.0,0,0.0,0.0
7,Tyreek Hill,MIA,WR,8.3,57.9,0.4,90.7,"1,168.0",8.4,0.3,0.0,0.0,0,0.0,0.0
8,Mike Evans,TB,WR,0.0,0.0,0.0,83.1,"1,140.1",10.0,0.2,0.0,0.0,0,0.0,0.0
9,CeeDee Lamb,DAL,WR,5.0,35.9,0.1,89.8,"1,215.9",7.7,0.2,0.0,0.0,0,0.0,0.0
10,Tee Higgins,CIN,WR,0.0,0.0,0.0,85.1,"1,177.9",8.0,0.3,0.0,0.0,0,0.0,0.0
11,A.J. Brown,PHI,WR,0.5,3.8,0.0,79.5,"1,143.4",8.2,0.2,0.0,0.0,0,0.0,0.0
12,Mike Williams,LAC,WR,0.0,0.0,0.0,74.6,"1,084.8",8.0,0.1,0.0,0.0,0,0.0,0.0
13,Michael Pittman Jr.,IND,WR,4.6,32.2,0.1,91.3,"1,125.3",6.7,0.3,0.0,0.0,0,0.0,0.0
14,Gabe Davis,BUF,WR,0.0,0.0,0.0,64.9,995.6,8.6,0.2,0.0,0.0,0,0.0,0.0
15,Brandin Cooks,HOU,WR,2.5,16.4,0.1,91.5,"1,109.1",6.1,0.2,0.0,0.0,0,0.0,0.0
16,DJ Moore,CAR,WR,5.5,38.3,0.1,84.7,"1,118.3",5.5,0.4,0.0,0.0,0,0.0,0.0
17,Keenan Allen,LAC,WR,0.2,1.5,0.0,97.1,"1,065.0",6.9,0.3,0.0,0.0,0,0.0,0.0
18,DK Metcalf,SEA,WR,0.2,1.3,0.0,80.0,"1,077.0",6.6,0.3,0.0,0.0,0,0.0,0.0
19,Diontae Johnson,PIT,WR,4.0,28.8,0.1,94.6,"1,053.0",5.7,0.4,0.0,0.0,0,0.0,0.0
20,Terry McLaurin,WAS,WR,0.3,2.5,0.0,78.0,"1,060.8",5.8,0.2,0.0,0.0,0,0.0,0.0
21,Courtland Sutton,DEN,WR,0.0,0.0,0.0,68.8,978.3,7.2,0.2,0.0,0.0,0,0.0,0.0
22,Amon-Ra St. Brown,DET,WR,6.5,42.0,0.2,88.8,976.2,6.2,0.3,0.0,0.0,0,0.0,0.0
23,Chris Godwin,TB,WR,1.8,9.8,0.1,84.4,972.2,6.9,0.4,0.0,0.0,0,0.0,0.0
24,Jerry Jeudy,DEN,WR,1.0,6.1,0.0,74.2,"1,015.8",6.0,0.4,0.0,0.0,0,0.0,0.0
25,Darnell Mooney,CHI,WR,4.7,25.4,0.1,79.2,"1,046.2",4.8,0.2,0.0,0.0,0,0.0,0.0
26,Jaylen Waddle,MIA,WR,3.6,22.9,0.2,86.0,976.2,5.9,0.4,0.0,0.0,0,0.0,0.0
27,Tyler Lockett,SEA,WR,2.1,13.3,0.1,75.2,999.8,5.7,0.2,0.0,0.0,0,0.0,0.0
28,Marquise Brown,ARI,WR,2.2,14.9,0.1,76.5,991.3,5.8,0.4,0.0,0.0,0,0.0,0.0
29,Elijah Moore,NYJ,WR,5.7,40.5,0.1,73.4,943.2,5.8,0.3,0.0,0.0,0,0.0,0.0
30,Michael Thomas,NO,WR,0.0,0.0,0.0,83.2,951.2,6.3,0.2,0.0,0.0,0,0.0,0.0
31,Hunter Renfrow,LV,WR,1.0,5.8,0.0,84.9,907.5,6.3,0.5,0.0,0.0,0,0.0,0.0
32,Amari Cooper,CLE,WR,0.0,0.0,0.0,75.7,944.3,5.6,0.3,0.0,0.0,0,0.0,0.0
33,Allen Robinson II,LAR,WR,0.0,0.0,0.0,75.2,901.0,6.1,0.2,0.0,0.0,0,0.0,0.0
34,JuJu Smith-Schuster,KC,WR,1.6,9.4,0.1,76.9,843.3,6.9,0.3,0.0,0.0,0,0.0,0.0
35,Adam Thielen,MIN,WR,0.0,0.0,0.0,73.3,838.8,7.2,0.3,0.0,0.0,0,0.0,0.0
