"Player","Team","REC","YDS","TDS","FL","FPTS"
"Â ","",""
"Mark Andrews","BAL","94.8","1,182.3","8.7","0.3","170.0"
"Travis Kelce","KC","96.0","1,134.7","9.0","0.3","167.1"
"Kyle Pitts","ATL","75.0","989.6","5.0","0.2","128.5"
"Darren Waller","LV","74.9","907.0","5.3","0.2","122.0"
"Dalton Schultz","DAL","76.9","800.4","5.9","0.2","115.3"
"George Kittle","SF","67.3","817.2","5.4","0.3","113.4"
"Dallas Goedert","PHI","63.5","772.8","4.8","0.2","105.9"
"T.J. Hockenson","DET","67.9","697.8","5.2","0.2","100.4"
"Dawson Knox","BUF","52.4","629.3","6.2","0.2","100.0"
"Hunter Henry","NE","55.3","631.2","5.8","0.1","98.0"
"Zach Ertz","ARI","63.3","650.8","4.5","0.1","91.9"
"Tyler Higbee","LAR","57.9","583.2","4.8","0.2","86.7"
"Cole Kmet","CHI","61.3","637.1","3.9","0.2","86.6"
"Mike Gesicki","MIA","57.4","622.1","4.0","0.1","86.0"
"Noah Fant","SEA","59.3","639.4","3.6","0.1","85.5"
"Irv Smith Jr.","MIN","50.9","571.1","4.4","0.2","83.2"
"Pat Freiermuth","PIT","62.1","588.4","4.1","0.2","83.0"
"David Njoku","CLE","53.5","583.0","4.0","0.1","81.9"
"Gerald Everett","LAC","52.4","546.4","4.4","0.3","80.7"
"Robert Tonyan","GB","46.6","529.7","4.5","0.1","79.5"
"Albert Okwuegbunam","DEN","48.9","511.3","4.7","0.2","78.8"
"Logan Thomas","WAS","48.9","513.0","4.3","0.1","76.7"
"Evan Engram","JAC","53.2","550.5","3.5","0.2","75.9"
"Austin Hooper","TEN","48.5","485.8","3.7","0.1","70.3"
"Hayden Hurst","CIN","42.1","446.5","3.8","0.2","67.0"
"Mo Alie-Cox","IND","38.1","454.0","3.4","0.2","65.3"
"Brevin Jordan","HOU","41.7","432.2","2.7","0.2","59.1"
"Isaiah Likely","BAL","31.9","351.9","2.9","0.2","52.2"
"Adam Trautman","NO","31.6","334.9","3.0","0.1","51.3"
"C.J. Uzomah","NYJ","34.2","343.2","2.5","0.1","49.3"
"Kyle Rudolph","TB","30.8","304.8","3.1","0.1","48.9"
"Jonnu Smith","NE","30.7","328.7","2.6","0.1","48.3"
"Cameron Brate","TB","32.3","307.0","2.9","0.1","48.0"
"Andrew Beck","DEN","27.9","295.3","2.9","0.0","46.6"
"Dan Arnold","JAC","26.4","310.8","2.0","0.1","43.0"
"Tyler Conklin","NYJ","32.0","305.3","2.1","0.1","42.6"
"Tommy Tremble","CAR","28.3","293.9","2.2","0.1","42.2"
"Harrison Bryant","CLE","28.4","294.3","1.9","0.1","40.9"
"Jordan Akins","HOU","29.2","305.5","1.5","0.0","39.2"
"Daniel Bellinger","NYG","25.6","262.1","1.8","0.2","36.9"
"Foster Moreau","LV","23.6","257.8","1.9","0.1","36.9"
"Geoff Swaim","TEN","24.5","225.0","2.0","0.1","34.2"
"Donald Parham Jr.","LAC","20.7","219.0","2.0","0.1","33.9"
"Kylen Granson","IND","20.6","233.6","1.5","0.2","31.8"
"Durham Smythe","MIA","23.5","230.4","1.4","0.0","31.6"
"Josiah Deguara","GB","19.7","209.7","1.7","0.1","30.8"
"Greg Dulcich","DEN","19.3","211.8","1.5","0.1","29.9"
"Pharaoh Brown","HOU","21.6","218.4","1.2","0.1","29.1"
"Anthony Firkser","ATL","18.0","203.9","1.2","0.0","27.8"
"Taysom Hill","NO","16.5","161.0","1.5","0.0","25.1"
"Will Dissly","SEA","17.4","178.6","1.3","0.2","25.0"
"Trey McBride","ARI","14.9","163.7","1.3","0.1","24.1"
"Jelani Woods","IND","14.9","165.0","1.2","0.1","23.4"
"Ian Thomas","CAR","16.9","167.8","1.0","0.1","22.7"
"John Bates","WAS","14.0","146.8","1.3","0.1","22.3"
"O.J. Howard","HOU","14.1","160.5","1.0","0.1","22.1"
"Chris Myarick","NYG","15.8","152.9","1.2","0.1","22.0"
"Zach Davidson","BUF","14.0","148.0","1.0","0.0","20.8"
"Ryan Griffin","CHI","14.3","147.4","1.0","0.1","20.7"
"Marcedes Lewis","GB","13.6","145.7","1.0","0.0","20.6"
"Jake Ferguson","DAL","14.0","151.6","0.9","0.1","20.5"
"Cade Otton","TB","12.1","137.8","1.1","0.1","20.2"
"Kendall Blanton","LAR","11.0","133.0","1.0","0.0","19.3"
"Brycen Hopkins","LAR","12.1","121.3","1.2","0.1","18.8"
"Parker Hesse","ATL","12.6","125.7","0.8","0.2","16.8"
"Jody Fortson","KC","9.4","94.4","1.2","0.1","16.4"
"Zach Gentry","PIT","12.1","112.1","0.9","0.0","16.4"
"Noah Gray","KC","9.8","98.6","1.1","0.1","16.2"
"Connor Heyward","PIT","11.6","116.2","0.7","0.1","15.7"
"Drew Sample","CIN","10.1","104.4","0.8","0.1","14.9"
"Chris Manhertz","JAC","9.6","103.1","0.7","0.1","14.5"
"Tyler Kroft","SF","9.2","93.6","0.8","0.0","14.0"
"Ross Dwelley","SF","9.7","88.3","0.7","0.0","13.2"
"Peyton Hendershot","DAL","8.3","86.2","0.8","0.1","13.1"
"Blake Bell","KC","8.8","81.4","0.8","0.0","12.7"
"Nick Boyle","BAL","7.8","75.8","0.7","0.0","11.9"
"Luke Farrell","JAC","7.6","80.8","0.6","0.1","11.3"
"Tyree Jackson","PHI","7.2","69.4","0.7","0.1","11.0"
"Chigoziem Okonkwo","TEN","7.0","74.1","0.6","0.0","10.9"
"Brock Wright","DET","7.3","71.7","0.6","0.1","10.5"
"Nick Vannett","NO","6.2","65.0","0.6","0.1","10.2"
"Johnny Mundt","MIN","6.9","68.4","0.6","0.1","10.2"
"MyCole Pruitt","ATL","7.2","69.2","0.5","0.0","10.0"
"Armani Rogers","WAS","6.2","64.9","0.5","0.0","9.5"
"Ben Ellefson","MIN","5.2","54.8","0.6","0.0","9.1"
"Tre' McKitty","LAC","6.9","69.5","0.4","0.1","9.1"
"Jack Stoll","PHI","7.1","73.7","0.3","0.0","8.9"
"Eric Tomlinson","DEN","5.4","57.9","0.5","0.0","8.9"
"Maxx Williams","ARI","7.0","71.1","0.3","0.1","8.9"
"Tanner Hudson","NYG","5.7","61.9","0.4","0.1","8.6"
"Jesper Horsted","LV","5.4","57.1","0.5","0.0","8.5"
"Colby Parkinson","SEA","5.4","52.2","0.4","0.1","7.5"
"Eric Saubert","DEN","4.9","46.7","0.5","0.0","7.4"
"Ko Kieft","TB","4.4","46.5","0.4","0.0","7.0"
"Stephen Anderson","ARI","4.1","44.1","0.3","0.0","6.5"
"Grant Calcaterra","PHI","3.8","38.9","0.4","0.0","6.2"
"Dominique Dafney","DEN","4.1","40.8","0.4","0.0","6.2"
"Reggie Gilliam","BUF","4.1","37.9","0.4","0.0","6.1"
"Kevin Rader","TEN","4.2","39.4","0.3","0.0","5.9"
"Devin Asiasi","CIN","4.1","37.5","0.3","0.0","5.8"
"Jeremy Ruckert","NYJ","3.9","39.3","0.3","0.0","5.7"
"Colin Thompson","CAR","3.7","37.2","0.3","0.0","5.6"
"Stephen Sullivan","CAR","3.7","37.6","0.3","0.0","5.4"
"Tommy Sweeney","BUF","3.9","43.4","0.2","0.0","5.4"
"Jake Tonges","CHI","3.6","37.3","0.3","0.0","5.3"
"Jesse James","CLE","4.0","38.5","0.2","0.0","5.1"
"Charlie Woerner","SF","3.0","28.7","0.3","0.0","4.5"
"Juwan Johnson","NO","2.6","29.0","0.3","0.0","4.5"
"Charlie Kolar","BAL","2.6","27.6","0.3","0.0","4.2"
"Josh Oliver","BAL","2.6","26.1","0.2","0.0","4.1"
"Cole Turner","WAS","2.1","22.3","0.2","0.0","3.3"
"Quintin Morris","BUF","1.9","19.3","0.2","0.0","3.0"
"Hunter Long","MIA","2.0","19.9","0.2","0.0","3.0"
"Tanner Conner","MIA","1.9","18.8","0.2","0.0","2.9"
"Mitchell Wilcox","CIN","1.8","18.3","0.2","0.0","2.8"
"James Mitchell","DET","1.8","18.3","0.2","0.0","2.7"
"Shane Zylstra","DET","1.8","18.1","0.2","0.0","2.7"
"Cethan Carter","MIA","0.9","8.9","0.1","0.0","1.4"
"Jared Pinkney","LAR","0.0","0.0","0.0","0.0","0.0"
"J.P. Holtz","NO","0.0","0.0","0.0","0.0","0.0"
"Miller Forristall","CLE","0.0","0.0","0.0","0.0","0.0"
"Troy Fumagalli","SF","0.0","0.0","0.0","0.0","0.0"
"Jordan Franks","KC","0.0","0.0","0.0","0.0","0.0"
""
""